file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\FinalProject1\java_design_patterns-master\flyweight\src\main\java\me\zbl\flyweight\GunFactory.java,me.zbl.flyweight.GunFactory,class,6,7,1,6,7,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,38,1,0,1,0,0,0,0,6,0,2,2,0,0,0,13,1,0
C:\FinalProject1\java_design_patterns-master\decorator\src\test\java\me\zbl\decorator\CarpenterOperationsTest.java,me.zbl.decorator.CarpenterOperationsTest$InMemoryAppender,innerclass,3,3,0,3,4,2,0,7,0,0.25,0.5,0.5,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,2,0,0,0,1,0,1,1,1,1,0,0,0,0,19,2,0
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\prototype\src\main\java\me\zbl\prototype\OffRoadPassanger.java,me.zbl.prototype.OffRoadPassanger,class,2,5,3,2,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
C:\FinalProject1\java_design_patterns-master\prototype\src\main\java\me\zbl\prototype\OffRoadVehicle.java,OffRoadVehicle,class,4,7,3,4,2,1,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
C:\FinalProject1\java_design_patterns-master\bridge\src\main\java\me\zbl\bridge\Enemy.java,me.zbl.bridge.Enemy,interface,0,6,6,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\FinalProject1\java_design_patterns-master\decorator\src\main\java\me\zbl\decorator\HammerSmithOperation.java,me.zbl.decorator.HammerSmithOperation,class,3,6,3,3,4,1,0,5,0,0.125,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,19,0,0,0,0,0,3,0,2,0,2,0,0,0,0,15,1,3
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\bridge\src\main\java\me\zbl\bridge\AncientWar.java,AncientWar,class,5,8,3,5,5,1,0,5,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,22,1,0,0,0,0,3,0,2,0,2,0,0,0,0,14,1,3
C:\FinalProject1\java_design_patterns-master\observer\src\main\java\me\zbl\observer\TimeObserver.java,TimeObserver,interface,0,2,2,0,1,1,2,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\FinalProject1\java_design_patterns-master\flyweight\src\main\java\me\zbl\flyweight\Shooting.java,me.zbl.flyweight.Shooting,interface,0,6,6,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\FinalProject1\java_design_patterns-master\memento\src\main\java\me\zbl\memento\Flower.java,FlowerMemento,innerclass,3,4,1,3,4,1,0,0,0,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,10,0
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\composite\src\test\java\me\zbl\composite\WriterTest.java,WriterTest,class,7,7,0,7,6,1,0,12,9,0.6666666,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,31,0,0,0,0,0,3,0,5,0,5,0,0,0,0,38,1,0
